burst,t_s,T_bmp_C,P_hPa,T_mcp_C,phase,n_samples
0,0,29.6882,894.05,27.3704,warming,600
1,120,29.6515,894.04,27.1407,warming,600
2,240,32.9230,894.08,30.9850,warming,601
3,360,38.8464,894.10,36.5367,warming,600
4,480,44.0237,894.12,41.8742,warming,600
5,600,47.9315,894.15,46.0479,warming,601
6,720,50.4804,894.24,48.9134,cooling,600
7,840,49.4552,728.88,48.1467,cooling,600
8,960,46.4585,36.71,45.5051,cooling,601
9,1080,43.8541,63.54,42.4442,cooling,601
10,1200,41.8578,34.98,40.0012,cooling,600
11,1320,40.2325,33.77,38.1464,cooling,601
12,1440,38.8159,32.20,36.6374,cooling,601
13,1560,37.5993,33.75,35.3783,cooling,600
14,1680,36.5515,22.45,34.3406,cooling,601
15,1800,35.6664,34.16,33.4727,cooling,600
16,1920,34.8973,27.12,32.7532,cooling,600
17,2040,34.2306,20.64,32.1507,cooling,600
18,2160,33.6584,14.87,31.6091,cooling,600
19,2280,33.1604,19.75,31.1159,cooling,600
20,2400,32.7313,20.63,30.6910,cooling,601
21,2520,32.3562,21.61,30.3504,cooling,600
22,2640,32.0442,22.58,30.0656,cooling,600
23,2760,31.7685,27.93,29.8249,cooling,601
24,2880,31.5372,19.36,29.6126,cooling,600
25,3000,31.3353,14.87,29.4395,cooling,600
26,3120,31.1661,31.12,29.2856,cooling,600
27,3240,31.0182,17.16,29.1653,cooling,601
28,3360,30.8847,19.35,29.0331,cooling,600
29,3480,30.7674,16.65,28.9266,cooling,600
30,3600,30.6799,31.77,28.8339,cooling,601
31,3720,30.6299,46.97,28.8148,cooling,600
32,3840,30.6020,62.61,28.8462,cooling,600
33,3960,30.7127,592.23,28.9759,cooling-post,600
